Player_Last,Player_First,Age,Org,Lvl,Pos,Year,Lvls,IP,Pit,ERA,OPS,wOBA,BABIP,SO,BB
Megill, Trevor,26,SD,AAA,RHR,2019,"AAA, AA, A+",60.2,835,3.86,0.721,0.353,0.403,31,9
Wells, Tyler,25.2,MIN,AAA,RHS,2018,"AA, A+",119.1,522,2.49,0.541,0.284,0.254,29,10
Falter, Bailey,22.6,PHI,AAA,LHS,2019,AA,77.1,1171,3.84,0.712,0.323,0.315,18,11
Brown, Zack,24.9,MIL,AAA,RHS,2019,AAA,116.2,1941,5.79,0.864,0.366,0.349,18,12
Donato, Chad,24.5,HOU,AAA,RHS,2019,"AA, A+",122.1,764,4.86,0.751,0.269,0.336,28,13
Blackwood, Nolan,24.7,DET,AAA,RHR,2019,"AAA, AA",69.1,924,2.6,0.621,0.269,0.283,23,14
Jimenez, Dany,25.9,TOR,AAA,RHR,2019,"AA, A+",59,491,2.59,0.617,0.265,0.328,35,15
Barlow, Joe,24.1,TEX,AAA,RHR,2019,"AAA, AA, A+",57,411,3.16,0.618,0.424,0.34,24,16
Hill, Cameron,25.5,CLE,AAA,RHR,2019,"AAA, A, A-",32.2,388,3.58,0.676,0.354,0.324,34,17
Bailey, Brandon,25.1,HOU,AAA,RHS,2019,AA,92.2,1616,3.3,0.648,0.295,0.268,27,18
Singer, Jeff,26.2,PHI,AAA,LHR,2019,AA,61.2,984,2.34,0.531,0.26,0.248,29,19
Gomez, Ofreidy,24.4,KC,AAA,RHS,2019,"AAA, AA",129,266,4.33,0.77,0.453,0.321,11,20
Sheffield, Jordan,24.5,LA,AAA,RHR,2019,"AA, A+",55,697,3.27,0.599,0.323,0.239,27,21
Gonzalez, Harol,24.7,NYM,AAA,RHS,2019,"AAA, AA",137.2,575,3.01,0.679,0.314,0.254,15,22
Acevedo, Domingo,25.7,NYY,AAA,RHR,2019,"AAA, AA",51.2,268,4.35,0.743,0.349,0.242,28,23
